HIV1	HIV2	HIV3	HIV4	Cont1	Cont2	Cont3	Cont4
9.60887	7.32342	5.32764	13.62684	8.75675	21.72391	0.48728	6.36412
2642.0852	5034.069	537.2293	766.7927	1123.4523	961.6741	601.7361	1015.51575
75385.11	72672.586	53070.22	60622.082	134.20287	123.2475	93.20663	163.244
2508.2747	4787.6084	940.779	1217.6443	891.72986	805.1454	466.77365	831.51935
89440.16	91084.695	77504.336	85194.805	20.55703	32.69418	36.45761	67.21406
901.78125	577.02466	542.013	791.60864	72.50928	51.95274	8.44545	25.35749
5.19454	24.80841	15.31999	6.69881	32.95415	33.46957	2.63008	15.19439
43.26609	43.97952	41.33508	121.8615	78.08378	62.88241	19.1168	54.29028
675.8874	498.8253	226.29883	465.8893	669.2363	495.85574	293.49545	585.56946
196.72389	243.45255	62.67401	177.61383	115.07731	101.22318	90.75403	290.0428
7526.1294	5854.5024	2803.4004	4677.789	7220.378	6439.5293	4379.8306	6631.384
131.59369	85.00396	172.78923	171.8814	209.23454	154.8734	160.72351	170.32281
15.72256	3.85428	89.61289	105.36736	34.82853	12.41063	10.20588	2.66394
221.2789	152.33466	198.65253	193.09467	237.10059	192.83658	146.79851	232.36537
283.06003	208.77411	225.43365	217.90016	274.05823	229.716	175.78406	271.86035
47.54377	51.19423	45.09481	121.86255	67.062	81.75926	30.44145	47.11073
25.17355	0.86549	87.58801	52.34148	30.0557	4.93561	0.8783	6.81718
203.75934	99.84759	94.97633	177.13803	293.13275	160.77866	100.91422	196.21187
21.61938	2.13526	68.68221	153.42189	468.09952	16.65231	2.88496	7.10962
116.10929	56.84661	149.57654	465.48306	173.20616	74.29595	73.37098	288.8779
18.60986	23.03919	50.34425	391.07153	25.84401	22.82305	9.76992	19.87179
96.05904	42.46391	86.21741	387.38174	113.73275	57.84406	42.39439	67.19674
1783.9194	1295.8885	1052.3341	1779.4789	2137.2686	1709.8331	1123.0267	1766.0751
223.2284	167.62106	90.51708	173.30002	106.30885	71.50912	96.4138	195.53339
24137.748	19945.037	10215.797	15736.774	19576.672	18940.07	16792.459	24946.541
203.25708	112.06229	187.87424	260.43582	234.78122	156.46051	102.06039	162.91104
61.26751	37.35431	90.42506	56.57001	42.23787	40.91908	21.64108	33.38131
37.1781	27.12572	116.46851	55.11375	73.45	62.12902	36.68183	47.16716
1010.55554	516.53265	503.92548	550.5613	952.17944	565.8768	638.9244	728.85486
106.75946	49.52096	111.15372	148.17134	126.40183	73.90301	59.86376	101.73009
118.86435	65.69669	79.9014	122.66189	100.13934	67.51591	58.24136	89.82394
142.62514	127.02174	170.1901	197.37166	170.7768	160.01408	106.59698	165.78775
577.1033	327.52747	313.45038	417.67218	652.5051	436.24612	439.93185	529.2275
100.46133	67.23096	113.45836	90.61812	118.33676	93.50743	61.63779	97.96428
1581.9266	867.6449	802.608	847.57635	1616.7291	1050.9452	1061.5565	1175.2267
532.4649	308.19202	326.5622	448.78516	598.9542	375.52194	253.82132	345.28085
629.4826	371.69946	386.44727	400.36093	649.86505	446.78528	408.70712	484.55942
126.43697	71.34186	153.8356	90.44142	119.45229	80.89768	63.03874	89.3994
548.68115	339.4387	378.04352	375.62097	547.7592	407.46344	344.6498	402.60135
664.71735	368.579	361.94672	304.8652	696.5132	479.68375	591.9578	500.3541
76.91579	59.54337	36.15156	93.25228	100.19175	67.58951	29.28292	45.57634
90.40114	32.60025	31.34775	122.72217	83.52832	57.79724	31.29519	59.98434
485.07352	354.16376	157.67021	352.78824	588.3318	469.64844	176.93143	335.3744
56.82273	34.36362	23.50548	39.31768	88.65617	31.7489	14.82115	32.22185
699.8366	549.8859	266.09036	480.25842	796.1095	626.2112	358.9586	642.0075
1806.747	1151.8418	567.55615	1208.494	2016.2228	1451.6309	935.8754	1614.2422
2742.629	1886.8336	827.1847	1706.9093	4430.1753	3563.5244	2444.7925	4126.734
37.63752	29.68157	20.67813	66.6647	70.27917	48.30416	27.16577	44.14999
100.161	71.10755	65.51642	149.2045	131.58339	106.22422	63.93619	105.32062
4177.3203	2998.1145	1639.0895	2759.4004	3988.7449	3103.877	2482.4246	3547.1038
1956.0552	1215.2108	606.6577	1201.8651	5407.3916	3826.2444	2571.902	4576.1245
1932.4656	1317.5869	720.6185	1555.0361	2342.3909	1732.4994	752.28107	1461.4929
1505.1602	948.9969	607.73254	1232.5092	1789.3505	1266.6354	629.6869	1104.7147
124.68334	72.29935	47.17184	130.72949	118.19148	90.42832	47.92843	105.56938
300.17877	228.41219	189.81558	312.42456	383.15714	292.02734	205.97821	375.1797
499.74695	277.99503	242.34554	361.1764	813.7192	506.91092	273.05682	507.06726
43.46143	22.97561	41.43073	58.44674	58.75209	40.11287	35.47647	70.17596
433.24237	284.77472	284.44348	334.41043	563.2863	402.8304	320.02365	458.65088
133.41406	65.38475	116.92055	98.17272	75.27531	36.70325	39.03309	84.62598
565.35876	263.6725	251.70004	365.2654	517.04474	284.2142	146.54129	243.32817
6089.7715	3110.1316	2243.9849	3725.8215	3290.5325	1924.3193	1624.0752	2559.8652
343.48547	153.5992	163.68752	276.60284	332.2997	164.44946	156.37288	254.6171
382.37054	234.78017	227.8707	617.54803	409.7383	268.76166	223.3754	343.51315
